subid,RT,BaselineOnset,Onset,NaviOnset,EndingOnset,Steps,Choice,Distance_OA,Distance_OB,Distance_OC,Distance_AB,Distance_BC,Distance_AC,cos_ABC,cos_AOB,cos_BOC
16,1.0753683,485.5093167,486.5331076,489.5539803,491.0539803,10,A,7.810249676,3.605551275,3,4.242640687,2,5.830951895,-0.707106781,0.994309154,0.832050294
16,1.2715079,491.5541695,492.5764389,495.9315862,497.4315862,8,A,7.071067812,7.211102551,7.810249676,1.414213562,2.236067977,1,0.948683298,0.980580676,0.958798113
16,0.6023073,497.932304,498.9416452,501.9609277,503.4609277,8,A,6.708203932,5.385164807,5.099019514,1.414213562,1,2.236067977,-0.707106781,0.996545758,0.983282005
16,0.8448761,503.9603629,504.9710914,508.6545719,510.1545719,12,A,4.242640687,4.472135955,4.123105626,1.414213562,1,2.236067977,-0.707106781,0.948683298,0.97618706
16,1.0146712,510.6550707,511.6650102,514.3505839,515.8505839,4,A,2.236067977,9.219544457,9.899494937,7.071067812,1,7.810249676,-0.707106781,0.9701425,0.997054486
16,1.0711548,516.3502468,517.608511,522.2604475,523.7604475,14,A,8.062257748,4.123105626,8.94427191,4.242640687,5,1,0.989949494,0.96265094,0.97618706
16,0.7701698,524.2605896,525.2701048,528.8215936,530.3215936,7,A,6.708203932,6.708203932,8.544003745,4.242640687,5.830951895,2,0.9701425,0.8,0.732793492
16,1.3336233,530.8219137,531.8420943,536.0495335,537.5495335,14,C,5,5,9.899494937,7.071067812,7.280109889,7.280109889,0.485642931,-1.42E-16,0.707106781
16,0.8550409,538.0493466,539.0648518,540.6286041,542.1286041,4,A,5,8.544003745,7,4.242640687,3.16227766,2,0.894427191,0.936329178,0.936329178
16,0.9297682,542.6287811,543.6380749,545.957806,547.457806,7,A,2.828427125,8.485281374,2.236067977,5.656854249,6.403124237,1,0.993883735,1,0.948683298
16,1.2255053,547.9574492,548.9663126,551.1035561,552.6035561,7,C,7.211102551,4.472135955,7.071067812,2.828427125,3.16227766,3.16227766,0.447213595,0.992277877,0.948683298
16,1.1370598,553.1036737,554.1109541,555.7327074,557.2327074,1,A,2,10,8.544003745,8.485281374,3,6.708203932,0.707106781,0.8,0.959737407
16,1.0657581,557.7326661,558.7421857,564.3590546,565.8590546,17,A,8.602325267,3.16227766,5.099019514,5.656854249,2,4.472135955,0.707106781,0.955779009,0.992277877
16,0.6657216,566.3595869,567.3821829,571.3206518,572.8206518,11,A,7.071067812,5,7.810249676,2.236067977,2.828427125,1,0.948683298,0.989949494,0.998687663
16,0.8675877,573.3201759,574.3320637,576.8986262,578.3986262,4,A,4.472135955,4.472135955,6.708203932,2.828427125,2.236067977,4.123105626,-0.316227766,0.8,1
16,1.1667329,578.8987326,579.905186,581.7780666,583.2780666,5,A,5,5,4,7.071067812,6.403124237,1,0.993883735,-1.42E-16,0
16,1.1390734,583.7782112,584.7888148,587.3068683,588.8068683,7,C,8.544003745,5,5.830951895,4.242640687,5.385164807,5.385164807,0.393919299,0.936329178,0.514495755
16,0.7004178,589.3070675,590.3154736,593.6013767,595.1013767,13,A,7.071067812,5,7.810249676,2.236067977,2.828427125,1,0.948683298,0.989949494,0.998687663
16,0.7645659,595.6021017,596.6113128,597.8485244,599.3485244,4,A,4.123105626,8.062257748,8.485281374,4.242640687,2.236067977,5.385164807,-0.316227766,0.96265094,0.964763821
16,0.9345571,599.8480714,600.8573254,604.1096428,605.6096428,10,A,7.211102551,7.211102551,5.385164807,2.828427125,2.236067977,4.123105626,-0.316227766,0.923076923,0.978549785
16,1.6911203,606.1097322,607.1177094,610.3546294,611.8546294,8,C,3.605551275,6.403124237,6.08276253,2.828427125,3.16227766,3.16227766,0.447213595,0.996240588,0.872943482
16,1.1486363,612.3543464,613.3632124,618.1149807,619.6149807,9,A,6.708203932,6.708203932,8.544003745,4.242640687,5.830951895,2,0.9701425,0.8,0.732793492
16,2.6551476,620.1151155,621.1367331,627.7902265,629.2902265,11,C,4.123105626,8.062257748,7.615773106,4.242640687,5,6.08276253,0.141421356,0.96265094,0.798041369
16,1.1803124,629.7901034,630.7955256,634.2354852,635.7354852,13,C,5.385164807,5.385164807,9.219544457,4.242640687,4.472135955,5.099019514,0.316227766,0.689655172,0.946649906
16,1.4165576,636.2352995,637.2553959,641.5955383,643.0955383,7,A,4.472135955,6.708203932,4,2.236067977,3.605551275,2,0.868243142,1,0.894427191
16,0.8577234,643.595597,644.6061003,647.9405736,649.4405736,9,A,6.08276253,6.08276253,4.123105626,7.071067812,2,5.830951895,0.707106781,0.324324324,0.996815279
16,1.9460475,649.9402972,650.9494874,657.0490942,658.5490942,15,A,9.219544457,9.219544457,10,1.414213562,1,2.236067977,-0.707106781,0.988235294,0.997880106
16,0.8146011,659.0495593,660.0570156,663.0281134,664.5281134,9,C,5,6.403124237,6.32455532,1.414213562,3.605551275,3.605551275,0.196116135,0.999512076,0.839570157
16,0.9298666,665.0285292,666.0538335,667.0245913,668.5245913,1,C,5.830951895,6.403124237,2.236067977,2.236067977,4.472135955,3.605551275,0.6,0.937425272,0.907959385
16,1.8015213,669.0249669,670.0462371,673.1035156,674.6035156,6,A,4,4,2,5.656854249,2,4.472135955,0.707106781,-2.22E-16,1
16,0.8271398,675.1032271,676.125041,682.9780438,684.4780438,17,A,3.16227766,8.602325267,5.099019514,5.656854249,4.472135955,2,0.948683298,0.955779009,0.911921505
16,0.7579594,684.9787771,685.9938276,687.5577174,689.0577174,4,A,2.236067977,9.219544457,9.899494937,7.071067812,1,7.810249676,-0.707106781,0.9701425,0.997054486
16,0.8410903,689.5577764,690.5664567,695.8340752,697.3340752,15,A,8.485281374,2.828427125,2.236067977,5.656854249,1,6.403124237,-0.707106781,1,0.948683298
